Interest payments: 
2003-01-13T21:56:30, 10.021280330109391 
2017-07-02T10:34:15, 12.400121738836827 
2011-01-13T14:10:56, 14.207241471562494 
2017-06-22T09:21:39, 12.211309205817567 
2012-02-04T00:50:20, 12.627288294903192 
2005-04-14T10:13:20, 32.72484544782675 
2006-03-25T02:31:51, 48.15093039320916 
2005-03-11T02:56:41, 7.547609403809077 
2008-11-26T20:31:35, 6.969474340862725 
2013-05-18T03:56:12, 11.14664407666282 
2007-08-24T22:29, 1.6367581091907195 
2014-06-12T23:02:21, 39.28037093007705 
2020-11-12T10:40:21, 38.643063978419775 
2010-11-02T18:53:11, 15.153317282738762 
2018-06-08T16:31:21, 30.42681155908992 
2002-08-22T13:49:21, 24.0219018363233 
2017-10-28T05:15:32, 38.58709215500002 
2011-08-15T12:20:35, 8.675787395016123 
2006-01-01T21:17:33, 8.444577502618735 
2005-02-25T04:51, 15.822766391476577 
 
 Principal payments: 
2012-03-10T01:21:17, 15.432643434075574 
2017-02-18T11:34:06, 4.484029511386266 
2011-06-16T15:42:57, 36.624643975875536 
2010-06-22T10:46:31, 10.728326061546285 
2014-08-27T04:56:43, 31.807102039249994 
2013-06-07T12:14:03, 37.15889243027541 
2006-06-06T02:59:38, 19.082469310120285 
2010-06-11T07:24:24, 6.71017218113948 
2020-07-10T15:15:49, 12.688600555114471 
2016-11-08T02:56:46, 27.871723213743753 
2012-01-18T05:57:01, 15.03357214603089 
2013-11-17T09:04:55, 7.814035452560898 
2002-06-24T06:03:20, 21.16989205779834 
2011-08-20T15:19:33, 30.307592642112166 
2018-06-04T02:51:22, 38.25493346891237 
2013-04-04T07:55:45, 27.892733437654464 
2011-07-29T11:57:37, 28.464203340952924 
2010-06-04T21:44:05, 28.76564561260918 
2015-09-23T18:58:40, 11.874239747833258 
2014-08-14T05:03:02, 16.138568917943672 
 
 Position info: 
null, 2005-03-01T16:17:46, dasdasd, adad, 1000.0, 100.0
